insert	id	family	superfamily	suborder	class	problem
1360	1360	1360	TIR	TIR	DNA	0
FBti0019243	1360	1360	TIR	TIR	DNA	0
FBti0019262	1360	1360	TIR	TIR	DNA	0
FBti0019275	1360	1360	TIR	TIR	DNA	0
FBti0019279	1360	1360	TIR	TIR	DNA	0
FBti0019290	1360	1360	TIR	TIR	DNA	0
FBti0019309	1360	1360	TIR	TIR	DNA	0
FBti0019330	1360	1360	TIR	TIR	DNA	0
FBti0019361	1360	1360	TIR	TIR	DNA	0
FBti0019418	1360	1360	TIR	TIR	DNA	0
FBti0019460	1360	1360	TIR	TIR	DNA	0
FBti0019472	1360	1360	TIR	TIR	DNA	0
FBti0019484	1360	1360	TIR	TIR	DNA	0
FBti0019485	1360	1360	TIR	TIR	DNA	0
FBti0019494	1360	1360	TIR	TIR	DNA	0
FBti0019500	1360	1360	TIR	TIR	DNA	0
FBti0019502	1360	1360	TIR	TIR	DNA	0
FBti0019507	1360	1360	TIR	TIR	DNA	0
FBti0019516	1360	1360	TIR	TIR	DNA	0
FBti0019518	1360	1360	TIR	TIR	DNA	0
FBti0019536	1360	1360	TIR	TIR	DNA	0
FBti0019546	1360	1360	TIR	TIR	DNA	0
FBti0019595	1360	1360	TIR	TIR	DNA	0
FBti0019613	1360	1360	TIR	TIR	DNA	0
FBti0019634	1360	1360	TIR	TIR	DNA	0
FBti0019637	1360	1360	TIR	TIR	DNA	0
FBti0019639	1360	1360	TIR	TIR	DNA	0
FBti0019662	1360	1360	TIR	TIR	DNA	0
FBti0019709	1360	1360	TIR	TIR	DNA	0
FBti0019770	1360	1360	TIR	TIR	DNA	0
FBti0019771	1360	1360	TIR	TIR	DNA	0
FBti0019780	1360	1360	TIR	TIR	DNA	0
FBti0019799	1360	1360	TIR	TIR	DNA	0
FBti0019825	1360	1360	TIR	TIR	DNA	0
FBti0019828	1360	1360	TIR	TIR	DNA	0
FBti0019831	1360	1360	TIR	TIR	DNA	0
FBti0019839	1360	1360	TIR	TIR	DNA	0
FBti0019840	1360	1360	TIR	TIR	DNA	0
FBti0019841	1360	1360	TIR	TIR	DNA	0
FBti0019842	1360	1360	TIR	TIR	DNA	0
FBti0019847	1360	1360	TIR	TIR	DNA	0
FBti0019857	1360	1360	TIR	TIR	DNA	0
FBti0019861	1360	1360	TIR	TIR	DNA	0
FBti0019864	1360	1360	TIR	TIR	DNA	0
FBti0019876	1360	1360	TIR	TIR	DNA	0
FBti0019896	1360	1360	TIR	TIR	DNA	0
FBti0019902	1360	1360	TIR	TIR	DNA	0
FBti0019905	1360	1360	TIR	TIR	DNA	0
FBti0019916	1360	1360	TIR	TIR	DNA	0
FBti0019917	1360	1360	TIR	TIR	DNA	0
FBti0019920	1360	1360	TIR	TIR	DNA	0
FBti0019922	1360	1360	TIR	TIR	DNA	0
FBti0019937	1360	1360	TIR	TIR	DNA	0
FBti0019939	1360	1360	TIR	TIR	DNA	0
FBti0019969	1360	1360	TIR	TIR	DNA	0
FBti0019978	1360	1360	TIR	TIR	DNA	0
FBti0019992	1360	1360	TIR	TIR	DNA	0
FBti0019993	1360	1360	TIR	TIR	DNA	0
FBti0020017	1360	1360	TIR	TIR	DNA	0
FBti0020018	1360	1360	TIR	TIR	DNA	0
FBti0020116	1360	1360	TIR	TIR	DNA	0
FBti0020143	1360	1360	TIR	TIR	DNA	0
FBti0020155	1360	1360	TIR	TIR	DNA	0
FBti0020207	1360	1360	TIR	TIR	DNA	0
FBti0020224	1360	1360	TIR	TIR	DNA	0
FBti0020225	1360	1360	TIR	TIR	DNA	0
FBti0020229	1360	1360	TIR	TIR	DNA	0
FBti0020230	1360	1360	TIR	TIR	DNA	0
FBti0020240	1360	1360	TIR	TIR	DNA	0
FBti0020243	1360	1360	TIR	TIR	DNA	0
FBti0020244	1360	1360	TIR	TIR	DNA	0
FBti0020249	1360	1360	TIR	TIR	DNA	0
FBti0020271	1360	1360	TIR	TIR	DNA	0
FBti0020273	1360	1360	TIR	TIR	DNA	0
FBti0020282	1360	1360	TIR	TIR	DNA	0
FBti0020291	1360	1360	TIR	TIR	DNA	0
FBti0020301	1360	1360	TIR	TIR	DNA	0
FBti0020305	1360	1360	TIR	TIR	DNA	0
FBti0020322	1360	1360	TIR	TIR	DNA	0
FBti0020323	1360	1360	TIR	TIR	DNA	0
FBti0020393	1360	1360	TIR	TIR	DNA	0
FBti0020400	1360	1360	TIR	TIR	DNA	0
FBti0020403	1360	1360	TIR	TIR	DNA	0
FBti0020404	1360	1360	TIR	TIR	DNA	0
FBti0020405	1360	1360	TIR	TIR	DNA	0
FBti0020414	1360	1360	TIR	TIR	DNA	0
FBti0020415	1360	1360	TIR	TIR	DNA	0
FBti0020418	1360	1360	TIR	TIR	DNA	0
FBti0020419	1360	1360	TIR	TIR	DNA	0
FBti0020422	1360	1360	TIR	TIR	DNA	0
FBti0020423	1360	1360	TIR	TIR	DNA	0
FBti0020432	1360	1360	TIR	TIR	DNA	0
FBti0020434	1360	1360	TIR	TIR	DNA	0
FBti0020437	1360	1360	TIR	TIR	DNA	0
FBti0020438	1360	1360	TIR	TIR	DNA	0
FBti0020446	1360	1360	TIR	TIR	DNA	0
FBti0020451	1360	1360	TIR	TIR	DNA	0
FBti0020452	1360	1360	TIR	TIR	DNA	0
FBti0059638	1360	1360	TIR	TIR	DNA	0
FBti0059647	1360	1360	TIR	TIR	DNA	0
FBti0059649	1360	1360	TIR	TIR	DNA	0
FBti0059650	1360	1360	TIR	TIR	DNA	0
FBti0059651	1360	1360	TIR	TIR	DNA	0
